,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
302,002350,KR7002350007,넥센타이어,KOSPI,,8900,2,-420,-4.51,9380,9600,8770,446679,4134813920,869244105300,97667877,STK
303,105630,KR7105630008,한세실업,KOSPI,,21600,2,-50,-0.23,21350,21900,21300,33043,711418750,864000000000,40000000,STK
304,195870,KR7195870001,해성디에스,KOSPI,,50800,1,600,1.2,49700,50900,49700,33976,1710398850,863600000000,17000000,STK
305,319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,29800,1,100,0.34,29150,29850,29050,120337,3544745800,863208077200,28966714,KSQ
306,006120,KR7006120000,SK디스커버리,KOSPI,,45350,2,-150,-0.33,45300,45600,45300,11114,505117750,851938524250,18785855,STK
307,271940,KR7271940009,일진하이솔루스,KOSPI,,23400,3,0,0.0,23000,23600,23000,13721,319128100,849728646000,36313190,STK
308,082640,KR7082640004,동양생명,KOSPI,,5250,2,-70,-1.32,5320,5340,5250,33634,177301410,847132571250,161358585,STK
309,009520,KR7009520008,포스코엠텍,KOSDAQ,우량기업부,20250,2,-350,-1.7,20550,20600,20200,89811,1822478300,843264735750,41642703,KSQ
310,456040,KR7456040005,OCI,KOSPI,,93300,2,-1000,-1.06,94000,95100,93000,18957,1775768400,838816915500,8990535,STK
311,115450,KR7115450009,HLB테라퓨틱스,KOSDAQ,중견기업부,10590,2,-640,-5.7,11300,11360,10500,1472753,16028252090,836297171400,78970460,KSQ
312,119860,KR7119860005,커넥트웨이브,KOSDAQ,우량기업부,17880,1,20,0.11,17870,17890,17860,276757,4945120810,835839632040,46747183,KSQ
313,007340,KR7007340003,DN오토모티브,KOSPI,,83600,2,-200,-0.24,83800,83800,83000,3404,283826700,835498818000,9994005,STK
314,093370,KR7093370005,후성,KOSPI,,7730,2,-40,-0.51,7770,7890,7700,353994,2744070230,829083700900,107255330,STK
315,131970,KR7131970006,두산테스나,KOSDAQ,우량기업부,48700,2,-350,-0.71,48400,49100,48000,82784,4013564000,828219764200,17006566,KSQ
316,020560,KR7020560009,아시아나항공,KOSPI,,11120,1,140,1.28,10970,11150,10910,107784,1194535360,827458815680,74411764,STK
317,008730,KR7008730004,율촌화학,KOSPI,,33350,2,-200,-0.6,33200,34150,33000,38196,1280577550,827080000000,24800000,STK
318,222080,KR7222080004,씨아이에스,KOSDAQ,우량기업부,11470,1,10,0.09,11400,11650,11260,186055,2135747860,819426847720,71440876,KSQ
319,352480,KR7352480008,씨앤씨인터내셔널,KOSDAQ,벤처기업부,81600,2,-3100,-3.66,85700,88100,81000,85542,7222989500,817137585600,10013941,KSQ
320,420770,KR7420770000,기가비스,KOSDAQ,중견기업부,64100,1,800,1.26,62600,64700,62600,55327,3530962800,812516087800,12675758,KSQ
321,287410,KR7287410005,제이시스메디칼,KOSDAQ,우량기업부,10600,1,970,10.07,9780,10900,9700,4818054,50669974170,812361199400,76637849,KSQ
322,010780,KR7010780005,아이에스동서,KOSPI,,26900,2,-100,-0.37,26600,27000,26500,13759,367696000,812029654400,30186976,STK
323,069260,KR7069260008,TKG휴켐스,KOSPI,,19760,2,-50,-0.25,19620,19820,19610,23407,462919150,807760898880,40878588,STK
324,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,42900,1,500,1.18,42200,43050,42200,80757,3456326700,801846002100,18691049,KSQ
325,009450,KR7009450008,경동나비엔,KOSPI,,54900,2,-4900,-8.19,59100,59300,54400,92196,5178001000,799815700800,14568592,STK
326,048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,19990,2,-260,-1.28,20250,20550,19950,207997,4189544890,796013953920,39820608,KSQ
327,181710,KR7181710005,NHN,KOSPI,,23550,2,-150,-0.63,23700,23800,23450,23406,552570700,795192196650,33766123,STK
328,348950,KR7348950007,제이알글로벌리츠,KOSPI,,4020,2,-10,-0.25,4030,4030,3995,225755,907017185,793451520000,197376000,STK
